Round,TrainLoss,TrainAcc,TestLoss,TestAcc
132,3.68712707,0.0690,3.73843410,0.0386
133,3.67609279,0.0570,3.74428993,0.0295
134,3.75328093,0.0630,3.73517103,0.0522
135,3.71101304,0.0560,3.73744000,0.0328
136,3.68025921,0.0730,3.73898145,0.0444
137,3.71195647,0.0490,3.74607885,0.0277
138,3.75718780,0.0660,3.74533690,0.0386
139,3.72878839,0.0570,3.73378208,0.0343
140,3.71545099,0.0520,3.73416273,0.0288
141,3.66731298,0.0720,3.74934022,0.0273
142,3.70861043,0.0650,3.74989185,0.0248
143,3.65685682,0.0650,3.74203827,0.0420
144,3.64431200,0.0650,3.74418299,0.0301
145,3.66999503,0.0650,3.73585033,0.0248
146,3.70514275,0.0720,3.73780527,0.0312
147,3.70558136,0.0550,3.74240804,0.0244
148,3.68856422,0.0780,3.74041196,0.0356
149,3.64475023,0.0740,3.74139559,0.0420
150,3.73234326,0.0860,3.73623740,0.0374
151,3.65178664,0.0850,3.75201138,0.0244
152,3.67261867,0.0640,3.74893302,0.0292
153,3.64026476,0.0830,3.73855036,0.0244
154,3.65720372,0.0640,3.72929076,0.0468
155,3.72124385,0.0630,3.72885322,0.0280
156,3.66916892,0.0700,3.72156745,0.0341
157,3.68198828,0.0730,3.72544971,0.0439
158,3.69999021,0.0750,3.71952058,0.0570
159,3.70359357,0.0580,3.71691522,0.0266
160,3.65874478,0.0730,3.70569319,0.0254
161,3.67089532,0.0720,3.70188991,0.0252
162,3.73142371,0.0590,3.68237044,0.0877
163,3.65881501,0.0930,3.69228214,0.0491
164,3.70400214,0.0690,3.69927353,0.0281
165,3.68379606,0.0810,3.70926479,0.0445
166,3.68739381,0.0670,3.70541667,0.0252
167,3.67374588,0.0840,3.70011648,0.0244
168,3.66757705,0.0770,3.70822449,0.0244
169,3.68529068,0.0730,3.70950161,0.0452
170,3.70290174,0.0600,3.69508360,0.0314
171,3.74849438,0.0590,3.68218739,0.0331
172,3.63575615,0.0890,3.68459414,0.0309
173,3.70978972,0.0680,3.68850007,0.0328
174,3.68652280,0.0870,3.69152731,0.0391
175,3.65020631,0.0900,3.70212723,0.0417
176,3.69445906,0.0670,3.68680770,0.0294
177,3.61442760,0.0780,3.69081722,0.0273
178,3.67962158,0.0760,3.68168619,0.0301
179,3.60625421,0.0850,3.69621924,0.0337
180,3.62437891,0.0730,3.69948846,0.0399
181,3.64565302,0.0790,3.69175567,0.0312
182,3.63488919,0.0850,3.68733977,0.0478
183,3.61450921,0.0810,3.70486586,0.0405
184,3.65540757,0.0800,3.68652844,0.0558
185,3.63509833,0.0920,3.67343918,0.0745
186,3.65164504,0.0800,3.66790902,0.0510
187,3.63281563,0.0850,3.66989550,0.0728
188,3.71270089,0.0750,3.66201240,0.0768
189,3.63299201,0.0840,3.67774765,0.0447
190,3.64800876,0.0940,3.65962422,0.0723
191,3.64015402,0.0860,3.66436789,0.0356
192,3.62306201,0.0860,3.66330041,0.0390
193,3.60305303,0.0860,3.66686974,0.0593
194,3.70788688,0.0760,3.64702911,0.0458
195,3.62273576,0.0880,3.64262375,0.0458
196,3.61092805,0.0840,3.63884903,0.0413
197,3.64915906,0.0650,3.64421721,0.0425
198,3.57074121,0.1000,3.66353042,0.0375
199,3.57766861,0.0920,3.64205520,0.0529
200,3.66977504,0.0760,3.63935049,0.0542
201,3.65283051,0.0910,3.63088031,0.0661
202,3.64676387,0.1010,3.62537812,0.0520
203,3.61513078,0.0910,3.61622616,0.1091
204,3.61758444,0.0900,3.62856199,0.0558
205,3.57232179,0.0830,3.61957281,0.0538
206,3.63627544,0.0880,3.61491491,0.0544
207,3.59070964,0.0960,3.62175312,0.0622
208,3.55567085,0.0940,3.59934592,0.0937
209,3.64046550,0.1100,3.61614262,0.0530
210,3.66296765,0.1080,3.61074257,0.0767
211,3.55521745,0.0950,3.59642983,0.0863
212,3.55323342,0.1090,3.58417363,0.1074
213,3.60278289,0.1010,3.57800397,0.1184
214,3.55329107,0.1050,3.58471803,0.0922
215,3.63511112,0.1070,3.57488783,0.0930
216,3.49809070,0.1070,3.59215204,0.0720
217,3.54046861,0.0880,3.58823432,0.0815
218,3.52519416,0.1130,3.58618578,0.0893
219,3.51716367,0.1040,3.58182633,0.0873
220,3.53340009,0.1060,3.56081487,0.0919
221,3.55059847,0.1140,3.55366165,0.1240
222,3.47912585,0.1290,3.57571514,0.0714
223,3.46031400,0.1170,3.55596060,0.0967
224,3.48964979,0.1300,3.53950069,0.1164
225,3.53473945,0.1200,3.53186256,0.1263
226,3.46610334,0.1250,3.52213517,0.1202
227,3.49912677,0.1410,3.52210840,0.1093
228,3.50654449,0.1250,3.52281640,0.1356
229,3.51966197,0.1160,3.52230696,0.1383
230,3.44257047,0.1270,3.54518796,0.1003
231,3.43660244,0.1180,3.51144820,0.1245
232,3.40788784,0.1290,3.52364456,0.0994
233,3.44529399,0.1470,3.50548938,0.1126
234,3.48497551,0.1200,3.48935032,0.1325
235,3.43928363,0.1290,3.48265352,0.1662
236,3.45167127,0.1310,3.50223279,0.1457
237,3.54188767,0.1220,3.46978486,0.1812
238,3.43353529,0.1300,3.46256094,0.1681
239,3.35298729,0.1640,3.49300512,0.1224
240,3.43643713,0.1330,3.43200908,0.1886
241,3.41309639,0.1500,3.45231285,0.1737
242,3.46307716,0.1220,3.43794294,0.1795
243,3.42112812,0.1580,3.42525728,0.1722
244,3.38645152,0.1150,3.41149878,0.1649
245,3.37398680,0.1430,3.39508758,0.1880
246,3.31288659,0.1530,3.41794112,0.1585
247,3.41209245,0.1630,3.38613516,0.1863
248,3.38220233,0.1520,3.37651837,0.1859
249,3.34551391,0.1560,3.39217669,0.1846
250,3.37058362,0.1610,3.36450311,0.1941
251,3.41183061,0.1450,3.36752364,0.1932
252,3.34494801,0.1540,3.36720532,0.1765
253,3.25945469,0.1790,3.38093651,0.1610
254,3.35099113,0.1470,3.35787145,0.1835
255,3.29750929,0.1890,3.37181392,0.1758
256,3.27511293,0.1700,3.34241345,0.2049
257,3.32544449,0.1840,3.33203543,0.1853
258,3.30099575,0.1570,3.32066230,0.2352
259,3.29845801,0.1830,3.32338854,0.2102
260,3.17967651,0.1770,3.31842513,0.1963
261,3.29494966,0.1650,3.28102313,0.2380
262,3.28025986,0.1740,3.28143704,0.2265
263,3.24238899,0.1940,3.27933180,0.2120
264,3.31267753,0.1590,3.26885140,0.2259
265,3.23369154,0.1710,3.28149261,0.2113
266,3.23109562,0.1840,3.27273729,0.2091
267,3.29551834,0.1730,3.24948328,0.2235
268,3.22063081,0.1670,3.22642624,0.2371
269,3.21450556,0.1990,3.21402539,0.2572
270,3.21117292,0.1870,3.22984838,0.2536
271,3.14757381,0.2160,3.24638553,0.2148
272,3.14993347,0.2000,3.21610583,0.2380
273,3.14351398,0.2130,3.19211663,0.2450
274,3.13926205,0.2190,3.23622815,0.2066
275,3.23138380,0.1850,3.16362671,0.2660
276,3.12629003,0.2080,3.24865511,0.2071
277,3.15715332,0.2070,3.18531343,0.2462
278,3.15380260,0.2020,3.14068439,0.2627
279,3.03969784,0.2400,3.17136362,0.2339
280,3.11987913,0.2020,3.12491193,0.2732
281,2.97739173,0.2240,3.10692046,0.2770
282,3.01147903,0.2200,3.19131836,0.2137
283,3.17407099,0.2030,3.13221051,0.2608
284,3.15912622,0.1860,3.09494496,0.2976
285,2.98182792,0.2230,3.07406297,0.2688
