Round,TrainLoss,TrainAcc,TestLoss,TestAcc
132,0.97182118,0.7154,0.76001032,0.7629
133,0.82908835,0.7619,0.72938477,0.7730
134,0.71307154,0.7827,0.72888757,0.7742
135,0.97472254,0.7206,0.82388133,0.7366
136,0.94882640,0.7243,0.71141463,0.7817
137,0.84922747,0.7679,0.73649825,0.7651
138,0.86295447,0.7562,0.81811229,0.7504
139,0.78948630,0.7662,0.75448371,0.7604
140,0.91606490,0.7321,0.74378498,0.7639
141,0.80062835,0.7822,0.74544406,0.7654
142,0.92792586,0.7341,0.70261152,0.7831
143,0.95421656,0.7137,0.72397761,0.7724
144,0.92369281,0.7407,0.78015315,0.7473
145,0.89502779,0.7309,0.69749176,0.7840
146,0.78270864,0.7697,0.72655335,0.7680
147,0.93344704,0.7250,0.72986494,0.7617
148,0.85396615,0.7556,0.69706866,0.7874
149,0.73239368,0.7915,0.68744238,0.7874
150,1.07804938,0.7029,0.70077606,0.7825
151,0.78079459,0.7732,0.68438373,0.7879
152,0.86016752,0.7517,0.70349329,0.7768
153,0.78631392,0.7640,0.69494072,0.7735
154,0.79130528,0.7557,0.70790730,0.7803
155,0.88267857,0.7428,0.67946785,0.7902
156,0.78364981,0.7910,0.71047271,0.7786
157,0.86068838,0.7420,0.68111860,0.7909
158,0.77733831,0.7618,0.68039370,0.7872
159,0.80628143,0.7692,0.67405485,0.7901
160,0.83685413,0.7614,0.68723539,0.7851
161,1.05641173,0.7021,0.67179306,0.7932
162,0.81364380,0.7779,0.67118215,0.7883
163,0.85072266,0.7498,0.68853264,0.7892
164,0.71119489,0.7996,0.68531812,0.7805
165,0.90417226,0.7412,0.66671792,0.7934
166,0.89161618,0.7508,0.66197267,0.7915
167,0.72383025,0.7944,0.67956696,0.7773
168,0.81083440,0.7490,0.66396742,0.7902
169,0.73963376,0.7906,0.73301362,0.7572
170,0.68590645,0.7930,0.71307603,0.7719
171,0.82166425,0.7583,0.66519594,0.7927
172,0.72866306,0.7857,0.69175558,0.7750
173,0.74302486,0.7852,0.67665525,0.7892
174,0.78873786,0.7742,0.68088715,0.7920
175,0.95842904,0.7296,0.68950647,0.7789
176,0.80479405,0.7607,0.66368408,0.7918
177,0.81257650,0.7503,0.68223817,0.7833
178,0.91057692,0.7328,0.65642256,0.7920
179,0.75098165,0.7934,0.65210518,0.7939
180,0.68858804,0.7891,0.69589231,0.7798
181,0.87325791,0.7618,0.65876095,0.7893
182,0.94312504,0.7310,0.64757092,0.7962
183,0.77208274,0.7811,0.63686575,0.7989
184,0.67351092,0.7930,0.64401647,0.7924
185,0.85422304,0.7513,0.67040520,0.7901
186,0.77543478,0.7746,0.63593819,0.7994
187,0.77893673,0.7791,0.63802661,0.7989
188,0.76047875,0.7762,0.69869942,0.7788
