Round,TrainLoss,TrainAcc,TestLoss,TestAcc
1846,0.45945650,0.8615,0.42697684,0.8524
1847,0.36953403,0.8832,0.48940180,0.8332
1848,0.44077559,0.8652,0.43619572,0.8537
1849,0.62530711,0.8256,0.48577289,0.8362
1850,0.56916576,0.8368,0.43797485,0.8507
1851,0.50646486,0.8431,0.43820723,0.8493
1852,0.45351821,0.8452,0.43738243,0.8498
1853,0.46485171,0.8480,0.44339030,0.8511
1854,0.39727503,0.8718,0.42858983,0.8541
1855,0.47467996,0.8507,0.43247329,0.8523
1856,0.47001299,0.8543,0.45299678,0.8463
1857,0.64758837,0.8125,0.45389377,0.8397
1858,0.47545367,0.8482,0.46732915,0.8408
1859,0.49921161,0.8426,0.43357638,0.8513
1860,0.52006203,0.8514,0.43761295,0.8495
1861,0.52190387,0.8418,0.42481252,0.8539
1862,0.67864170,0.8136,0.46935419,0.8394
1863,0.43682012,0.8637,0.43393468,0.8504
1864,0.45974522,0.8587,0.44982963,0.8452
1865,0.54336690,0.8394,0.42475006,0.8527
1866,0.39875654,0.8692,0.53464795,0.8231
1867,0.46664659,0.8515,0.43410135,0.8477
1868,0.40247192,0.8699,0.42636483,0.8547
1869,0.41554799,0.8728,0.43153259,0.8505
1870,0.41627642,0.8654,0.42635460,0.8543
1871,0.59802303,0.8284,0.42396538,0.8548
1872,0.49330483,0.8570,0.42324215,0.8549
1873,0.44624740,0.8602,0.61761486,0.8093
1874,0.44829195,0.8523,0.44260239,0.8490
1875,0.42481691,0.8629,0.43837460,0.8474
1876,0.42789560,0.8609,0.48946673,0.8369
1877,0.44849471,0.8531,0.48047571,0.8363
1878,0.54873658,0.8387,0.47252916,0.8367
1879,0.33310927,0.8945,0.65335154,0.8066
1880,0.51967421,0.8511,0.46183078,0.8407
1881,0.45211119,0.8505,0.42892646,0.8538
1882,0.44194885,0.8694,0.43384117,0.8522
1883,0.43807738,0.8738,0.46907098,0.8415
1884,0.47600423,0.8539,0.45407201,0.8464
1885,0.47978367,0.8495,0.47391440,0.8409
1886,0.47849231,0.8611,0.44850808,0.8488
1887,0.53272445,0.8423,0.43893376,0.8514
1888,0.41708742,0.8785,0.58969666,0.8174
1889,0.54008853,0.8437,0.48137088,0.8333
1890,0.77846259,0.7930,0.54566530,0.8165
1891,0.63369628,0.8222,0.46297035,0.8426
1892,0.38215012,0.8751,0.45148542,0.8474
1893,0.48608260,0.8563,0.43178668,0.8520
1894,0.42613155,0.8717,0.44957346,0.8499
1895,0.55673653,0.8176,0.43595704,0.8488
1896,0.56732172,0.8232,0.43225662,0.8514
1897,0.56412567,0.8378,0.42407201,0.8548
1898,0.55815341,0.8330,0.44628030,0.8452
1899,0.42603580,0.8660,0.42151701,0.8553
1900,0.53323967,0.8411,0.47393640,0.8391
1901,0.46005875,0.8764,0.59672541,0.8154
1902,0.51107351,0.8404,0.42369482,0.8542
1903,0.45972830,0.8559,0.44981441,0.8489
1904,0.58635996,0.8344,0.49974768,0.8336
1905,0.65290946,0.8224,0.53854956,0.8249
1906,0.43315482,0.8720,0.43651254,0.8518
1907,0.61639158,0.8177,0.42699014,0.8554
1908,0.54418422,0.8445,0.45408776,0.8461
1909,0.51034622,0.8446,0.43399819,0.8510
1910,0.44556780,0.8682,0.47561365,0.8403
1911,0.48225115,0.8571,0.48790850,0.8360
1912,0.52567545,0.8530,0.45278300,0.8457
1913,0.52891843,0.8423,0.44512832,0.8480
1914,0.34599499,0.8971,0.65025224,0.8062
1915,0.59507829,0.8285,0.56300544,0.8200
1916,0.44572606,0.8679,0.59594676,0.8157
1917,0.41598908,0.8686,0.46547249,0.8397
1918,0.43904646,0.8590,0.52327362,0.8292
1919,0.61510249,0.8158,0.42457221,0.8553
1920,0.57868235,0.8320,0.51122758,0.8299
1921,0.43888745,0.8651,0.43936607,0.8515
1922,0.48500797,0.8558,0.43582942,0.8522
1923,0.48450610,0.8559,0.43334939,0.8523
1924,0.44019027,0.8671,0.45952147,0.8427
1925,0.46053012,0.8578,0.49185538,0.8368
1926,0.60001708,0.8206,0.45165586,0.8461
1927,0.47788164,0.8531,0.51131128,0.8278
1928,0.49943450,0.8395,0.43357667,0.8525
1929,0.65504670,0.7974,0.49976984,0.8328
1930,0.53550786,0.8319,0.42437431,0.8534
1931,0.49354056,0.8344,0.42630057,0.8511
1932,0.45217416,0.8564,0.42737450,0.8515
1933,0.46307486,0.8531,0.42875076,0.8513
1934,0.51660697,0.8362,0.46125138,0.8425
1935,0.47205708,0.8550,0.45111532,0.8452
1936,0.47740537,0.8434,0.44452958,0.8472
1937,0.42713897,0.8638,0.45764817,0.8422
1938,0.39973109,0.8769,0.46707706,0.8415
1939,0.43718860,0.8685,0.42593693,0.8531
1940,0.42731410,0.8638,0.44033087,0.8477
1941,0.42594623,0.8577,0.43433705,0.8506
1942,0.42677029,0.8604,0.44116058,0.8474
1943,0.50334015,0.8524,0.59026052,0.8172
1944,0.45332872,0.8595,0.42348287,0.8529
1945,0.41220151,0.8635,0.42356025,0.8547
1946,0.36727990,0.8785,0.43610918,0.8524
1947,0.42148259,0.8641,0.42684231,0.8550
1948,0.39118721,0.8796,0.48758621,0.8409
1949,0.59964011,0.8270,0.43744679,0.8476
1950,0.53307036,0.8340,0.42410333,0.8533
1951,0.49223899,0.8480,0.42389913,0.8517
1952,0.45970867,0.8653,0.44024957,0.8478
1953,0.51243374,0.8406,0.42050890,0.8545
1954,0.40093340,0.8747,0.56472883,0.8209
1955,0.43576296,0.8616,0.42549455,0.8534
1956,0.42319999,0.8730,0.46430359,0.8436
1957,0.42749288,0.8592,0.44150088,0.8477
1958,0.45170214,0.8667,0.44610377,0.8485
1959,0.52258020,0.8486,0.55731810,0.8224
1960,0.43615288,0.8685,0.54407053,0.8285
1961,0.50751824,0.8459,0.45435116,0.8365
1962,0.38115934,0.8706,0.48002794,0.8363
1963,0.35845590,0.8811,0.46722725,0.8406
1964,0.41192204,0.8738,0.50857160,0.8318
1965,0.53857342,0.8454,0.42976263,0.8507
1966,0.45661680,0.8638,0.50835557,0.8329
1967,0.42033152,0.8728,0.43248171,0.8496
1968,0.57077168,0.8172,0.45364146,0.8438
1969,0.52387407,0.8376,0.43003105,0.8510
1970,0.42397453,0.8628,0.44111934,0.8482
1971,0.41535258,0.8794,0.45682066,0.8419
1972,0.75307759,0.7773,0.48561694,0.8276
1973,0.58766555,0.8306,0.45435819,0.8364
1974,0.43988751,0.8614,0.48296086,0.8348
1975,0.50146843,0.8521,0.45919022,0.8425
1976,0.49421498,0.8645,0.59285488,0.8154
1977,0.45610316,0.8719,0.53615027,0.8229
1978,0.56604998,0.8297,0.42202484,0.8533
1979,0.42046388,0.8716,0.46847211,0.8425
1980,0.44685944,0.8596,0.42440658,0.8549
1981,0.44127667,0.8569,0.49589940,0.8360
1982,0.70562673,0.8258,0.52552732,0.8235
1983,0.41592884,0.8736,0.44280604,0.8495
1984,0.50003551,0.8412,0.48528657,0.8388
1985,0.43639996,0.8712,0.58190057,0.8194
1986,0.48137347,0.8448,0.59985639,0.8164
1987,0.52471322,0.8429,0.51341218,0.8297
1988,0.54850557,0.8300,0.48268437,0.8373
1989,0.51721916,0.8534,0.42542032,0.8546
1990,0.41538503,0.8602,0.42573478,0.8527
1991,0.38031798,0.8830,0.42544816,0.8538
1992,0.55791258,0.8226,0.42255667,0.8548
1993,0.41942087,0.8491,0.42752772,0.8525
1994,0.55403512,0.8320,0.48775335,0.8304
1995,0.41461024,0.8662,0.49139782,0.8383
1996,0.42585978,0.8605,0.43038848,0.8521
1997,0.47697417,0.8543,0.49005096,0.8352
1998,0.41286208,0.8818,0.44596663,0.8487
1999,0.61450205,0.8310,0.43524826,0.8480
